poster_path,title,release_date,overview,popularity,original_title,backdrop_path,vote_count,video,adult,vote_average,original_language,id,genre_ids,year,imdb_id,imdb_title,runtime,director,aspect_ratio
/fCfeKasmcdS5juPwTaJ6Zxo17bI.jpg,Katt Williams: Priceless: Afterlife,8/16/2014,"Katt Williams performs in an all-new stand-up special recorded in front of a live audience at the Citizens Bank Arena in Ontario, California. Williams takes the stage and launches into an hour of frenetic stand-up comedy, covering such topics as the allure of California weed dispensaries; how America handles tragedies; getting rid of racism in 2014; his inspirations and his favorite TV show; homophobia and the first openly gay players in major sports; aggressive police tactics; being sent to a mental institution; doctors and the problem with drug commercials; the pros and cons of being single versus being in a relationship; and more.",1.117697,Katt Williams: Priceless: Afterlife,/sqqoLBHb6ahVgxfGLmjsMGxvfUo.jpg,1,FALSE,FALSE,10,en,287299,"[10770, 35]",2014,3742040,Katt Williams: Priceless: Afterlife,58,Spike Lee,
/ouSTRdjokviHLocW7ChpJ4a2lEX.jpg,Esoterica: Manila,11/9/2014,"Drawing from his personal adventures, film director, Elwood Perez veers away from standard-issue plot conventions in this paradoxically moral tale of a young man en route to becoming a creative artist.",1.038355,Esoterika: Maynila,,0,FALSE,FALSE,0,en,301944,[18],2014,4187702,Esoterika: Maynila,99,Elwood Perez,
/w7xU0bFY4rEOhVpP8OB420EftlI.jpg,Abducted,3/17/2014,"In an attempt to rebuild his marriage after the death of his son, Matt Hollis decides to take his wife and six year old daughter Lara on a trip of a lifetime to LA, to escape the constant reminders of their loss. Shortly after their arrival Matt's world is turned upside down when his wife is attacked in their holiday home, leaving her in a coma and their daughter LARA kidnapped by a child trafficking ring. Hunted by the police who mistakenly believe Matt has absconded with his daughter, he must evade capture and pursue the criminals responsible for Lara's abduction. Realizing he only has a 72-hour window of opportunity if he ever wants to see his daughter alive again, he enlists the help of Syan an old forces buddy, Matt tears a path of bloody vengeance through the streets of LA on a collision course with Lara's captors.",1.021416,Abducted,,2,FALSE,FALSE,3.5,en,239541,"[28, 53]",2014,2543484,Abducted,80,Mark Harris,
/crahcRXbxhBlwc0488OSxBHFHP8.jpg,The House of Him,2/22/2014,"A misogynistic masked killer prepares for the routine slaying of Anna, his 27th victim, in the comfort of his own home. As Anna struggles to break out of the role the killer has chosen for her, the dead women in the walls and floors play a last desperate card.",1.020345,The House of Him,/iCF17LoHNSiEgXobPa91CC8saYX.jpg,3,FALSE,FALSE,5.7,en,252409,"[53, 27]",2014,3475058,The House of Him,90,Robert Florence,
/JAjQcUFZVUef4VfdCgnIReZJZx.jpg,Ragamuffin,1/9/2014,"RAGAMUFFIN is based on the true story of Rich Mullins, a musical prodigy who rose to Christian music fame and fortune only to walk away and live on a Navajo reservation.  An artistic genius raised on a tree farm in Indiana by a weathered, callous father, Rich wrestled all of his life with the brokenness and crippling insecurity born of his childhood.  A lover of Jesus and a rebel in the church, Rich refused to let his struggles with alcoholism, addiction and women tear him away from a God he was determined to love.  As he struggled with success in Nashville, depression in Wichita, and oblivion in the Four Corners, Rich became one of the first of his time to live honestly amidst a culture of religion and conformity.",1.045669,Ragamuffin,/v70566PKJXBZSMqVdro2pmVCIBK.jpg,5,FALSE,FALSE,7.2,en,268386,[18],2014,2412568,Ragamuffin,137,David Leo Schultz,
/KciRHyVvt4riUJeqrzKkDuNNJ4.jpg,Chelsea Peretti: One of the Greats,11/14/2014,Standup special filmed live at the Palace of Fine Arts in San Francisco.,1.042511,Chelsea Peretti: One of the Greats,/Aoy7Ywqu7JcCgIT0VAenG948dD1.jpg,28,FALSE,FALSE,6.6,en,289339,[35],2014,3804556,Chelsea Peretti: One of the Greats,74,Lance Bangs,
,Bad City,12/1/2014,"Bad City is on the edge of falling into the hands of a madman, you dig? A strange and funky new party drug is killing kids left and right and that jive-ass, crooked city councilor Dominic Kincaid is behind it all. After murdering the mayor, Kincaid has his sights set on taking over and running the city his way, the bad way. Thankfully, the one and only superfly Detective Franky New Guinea and his new partner, the truly unruly Detective Reverend Grizzly Night-Bear, are here to make sure that Bad City stays groovy and is run the good way: the Bad way (it's different from the first bad way, and better). So get ready to boogie, cats, 'cause these cops are outta sight like dy-no-mite and the only thing they love more than sex, drugs, and growing body hair is taking down turkeys like Kincaid who threaten their BAD CITY.",1.024308,Bad City,,0,FALSE,FALSE,0,en,292638,"[80, 28, 35]",2014,3139682,Bad City,100,Carl Bessai,
/lEsFeXWoT8iGZMr4GJx8eRTDEkV.jpg,Tom and Jerry Santa's Little Helpers,11/19/2014,"The world's favorite cat and mouse team, Tom and Jerry (joined by Nibbles Mouse, who is known as Tuffy again) return in this new 2-Disc collection of their most wonderful wintertime adventures. Included in this compilation is the all-new holiday special, Santa???s Little Helpers, where Jerry and Tuffy are living the good life in Santa???s workshop, until the unfortunate day on which Tom is rescued by the Clause family. With Tom in the house, merry mayhem ensues at the North Pole, but when the dust settles, the destructive duo now have to work together to save Christmas and learn the true meaning of friendship.",1.321984,Tom and Jerry Santa's Little Helpers,/amP349Gh4ztK1AnlXuKGrSoQJw8.jpg,2,FALSE,FALSE,5.5,en,307650,[16],2014,5033328,Tom and Jerry: Santa's Little Helpers,22,Darrell Van Citters,
/foCo3GQlu5YiCjcF0fteFONl1Jq.jpg,Snow Moon: Cinderella Chronicles Saga,1/8/2014,"Snow Moon: Cinderella Chronicles Saga is a fantasy/adventure novel to film series. Snow Moon the movie, the first in their four part saga Cinderella Chronicles.",1.048311,Snow Moon: Cinderella Chronicles Saga,,0,FALSE,FALSE,0,en,248635,[16],2014,0,,,,
/jt21oW3GDLsgYQN7k2Y26OBVcVO.jpg,Operation Rogue,1/1/2014,"Deep in the jungles of Southeast Asia, a terrorist organization has stolen materials to create a dangerous chemical bomb. It is up to Captain Max Randall and his team of Marines to stop them. But when Randall's team kill the terrorist leader's son, the group responds by kidnapping General Wallace's daughter. It is up to Randall to save her and stop the terrorist attack.",1.076464,Operation Rogue,/qZZv40dS7KzrGVa26VUt61n9suV.jpg,5,FALSE,FALSE,4.7,en,289535,[28],2014,3560658,Operation Rogue,88,Brian Clyde,
